,Depth,X16SBac,X16SBac_SD,X16SArc,X16SArc_SD,amoAArc,amoAArc_SD,hzo,hzo_SD
GS19_GC10_55,55,430384.938309831,62761.8810818624,237369.322512472,9831.31539795193,1.26E+05,1.41E+04,,
GS19_GC10_56,56,268701.578776041,2918.36787492801,105953.439565805,4615.34549028445,5.60E+04,7.33E+03,,
GS19_GC10_57,57,170181.02389663,14159.8644541271,79054.9662575793,1160.53552769903,4.14E+04,4.88E+03,,
GS19_GC10_58,58,263327.266393083,38945.1830574636,138283.075911275,7214.02168273926,6.93E+04,1.38E+04,,
GS19_GC10_59,59,16440.8503712474,614.987720142712,246.903821304962,74.9178960189953,,,,
GS19_GC10_60,60,29553.3758825837,1500.20162430767,13326.7466493231,1456.7694404634,3.49E+03,3.71E+02,,
GS19_GC10_61,61,22565.7124033589,2392.12790546694,2674.94968961529,433.356350524014,7.32E+02,3.09E+02,,
GS19_GC10_62,62,506053.721211956,31847.9121328595,250493.932200338,21932.6317429781,8.82E+04,8.63E+03,,
GS19_GC10_63,63,472732.543945313,33804.3116316011,173973.971982546,4103.22418695764,9.18E+04,3.42E+04,,
GS19_GC10_64,64,399011.45792896,26306.0670461714,147597.678996021,9915.15757874672,9.18E+04,4.74E+03,,
GS19_GC10_65,65,343272.959493204,45880.3043097915,127947.487381991,4621.8871114727,7.42E+04,1.14E+04,,
GS19_GC10_66,66,110850.030374425,11037.4678426714,30184.4314217314,3846.61058373035,1.48E+04,3.62E+03,,
GS19_GC10_67,67,68035.7194190953,4211.29298291516,29416.7059680301,1445.02774847245,1.09E+04,1.68E+03,,
GS19_GC10_68,68,317303.013752415,63768.2350394652,180581.916730429,11609.0931843237,5.04E+04,4.57E+03,,
GS19_GC10_69,69,1374839.83039856,152685.981988907,119438.86578083,20011.4987790585,,,,
GS19_GC10_70,70,334166.324013158,23486.3843415913,198733.289216694,1239.71384450009,7.30E+04,5.12E+03,,
GS19_GC10_71,71,179377.716266556,32943.7356910959,111043.685003622,12365.7100248021,4.78E+04,9.74E+03,,
GS19_GC10_72,72,284387.844619596,31308.335464818,163194.011819773,8025.55877345087,8.34E+04,1.12E+04,,
GS19_GC10_73,73,288990.023917677,46330.0238011783,143279.032093855,17105.969551688,6.21E+04,1.51E+04,,
GS19_GC10_74,74,408765.450051302,64098.0839179958,210631.768714448,17973.6792217203,9.83E+04,2.30E+04,,
GS19_GC10_75,75,94469.4182236684,7116.12518369122,35430.5501634009,5509.26651469576,2.51E+04,6.76E+03,,
GS19_GC10_76,76,58814.6535361686,10943.0731796637,19417.7848536794,2117.96295352099,6.47E+03,3.75E+03,,
GS19_GC10_77,77,97762.6291910807,6545.70314619276,26492.7588568793,3254.29333580865,1.50E+04,4.71E+03,,
GS19_GC10_78,78,156094.488664107,39069.7236494584,67850.1736034047,5240.66773327914,2.70E+04,3.62E+03,,
GS19_GC10_79,79,245063.18553394,14186.9184986645,114550.124414709,3598.688454028,3.31E+04,2.03E+03,,
GS19_GC10_80,80,28416.3776383524,982.826327745799,8814.36979017293,2200.83964358476,3.57E+03,1.69E+03,,
GS19_GC10_81,81,137745.621090844,40032.3368254162,84501.838684082,13073.8178888957,3.42E+04,3.71E+03,,
GS19_GC10_82,82,23159.0917933057,817.184350643939,3170.17739279228,213.721185399775,1.42E+03,3.08E+02,,
GS19_GC10_83,83,205813.524650805,7105.55799079664,131995.525938092,10588.5557694869,5.26E+04,7.16E+03,,
GS19_GC10_84,84,53377.9219676383,1280.0212434158,14214.353599096,2123.51201551233,3.08E+03,2.24E+02,,
GS19_GC10_85,85,99940.3858636793,18222.9439794171,76606.4630300513,14071.9129010964,2.22E+04,5.11E+03,,
GS19_GC10_86,86,33065.7181295653,1051.47099872046,12630.4267789442,2067.0242175486,4.47E+03,2.30E+02,,
GS19_GC10_87,87,27785.2425208459,4423.01362425416,11319.6991302155,2298.98311279632,8.22E+03,2.74E+03,,
GS19_GC10_88,88,68496.0596309686,15582.533652738,25423.3532070373,2920.52245288162,1.57E+04,1.15E+03,,
GS19_GC10_89,89,20604.0438483743,1293.77280964571,NA,NA,3.14E+02,1.96E+02,,
GS19_GC10_90,90,138796.786604257,5102.05526139141,76872.3044869383,12898.2122239428,3.21E+04,5.49E+03,,
GS19_GC10_91,91,258234.950474331,21781.0162846346,120823.17660314,18267.0901280753,8.35E+04,2.24E+03,,
GS19_GC10_92,92,185535.22004554,2571.54110089019,112455.013409332,4764.97094235828,7.00E+04,8.87E+03,,
GS19_GC10_93,93,27817.4015070429,2261.30485534667,5693.49440517805,1186.25874550927,2.66E+03,2.36E+03,,
