Sample,Extraction,Sequencing,Type,Depth,16SBac,16SBac_SD,16SArc,16SArc_SD,Proka16S,PoolingChoice
GS19_GC10_31_E1_S2,E1,S2,Sample,31,1043489.15115387,27586.5474540389,401694.098646511,72804.7800924114,1445183.24980038,pool
GS19_GC10_31_E2_S1,E2,S1,Sample,31,1259004.36761811,32222.381351501,589740.615003691,37786.370375025,1848744.9826218,pool
GS19_GC10_32_E1_S1,E1,S1,Sample,32,35041.8437610973,5995.21615288475,5695.21622224288,1269.29174770008,40737.0599833402,pool
GS19_GC10_32_E2_S1,E2,S1,Sample,32,877090.74867278,62255.6030980408,289992.985670171,22217.3455138925,1167083.73434295,pool
GS19_GC10_33_E1_S1,E1,S1,Sample,33,1007748.2358871,181252.579227571,397243.219191027,65451.5075683594,1404991.45507813,pool
GS19_GC10_33_E2_S1,E2,S1,Sample,33,1671211.28551903,195679.989643797,557569.677628915,18141.6674257612,2228780.96314794,pool
GS19_GC10_34_E1_S1,E1,S1,Sample,34,966720.608302525,124288.834844317,438881.083897182,2112.35183690275,1405601.69219971,pool
GS19_GC10_34_E2_S1,E2,S1,Sample,34,6836861.62090844,695405.384621086,566651.97730743,23747.6153437055,7403513.59821587,pool
GS19_GC10_35_E1_S1,E1,S1,Sample,35,1584677.21121652,151654.554094587,440293.535505021,79305.2618844168,2024970.74672154,
GS19_GC10_36_E1_S1,E1,S1,Sample,36,732806.989698637,251612.956168584,287097.748000472,31796.8677496035,1019904.73769911,
GS19_GC10_37_E1_S1,E1,S1,Sample,37,623853.238143585,107670.079033805,194573.194865088,47503.3360955998,818426.433008673,
GS19_GC10_38_E1_S1,E1,S1,Sample,38,1352153.55657762,177351.730100571,385450.449297505,28873.3259324105,1737604.00587513,pool
GS19_GC10_38_E2_S1,E2,S1,Sample,38,1229517.72033318,110931.269068825,420472.695531282,34850.2802023334,1649990.41586446,pool
GS19_GC10_39_E1_S1,E1,S1,Sample,39,32728.2162894189,4258.15698319832,,,32728.2162894189,discard
GS19_GC10_39_E2_S1,E2,S1,Sample,39,1428399.21955211,226808.269900218,431376.030704569,37766.9998262942,1859775.25025668,keep
GS19_GC10_40_E1_S1,E1,S1,Sample,40,35993.2114806356,1889.77114761932,1018.70675630207,335.934230043918,37011.9182369377,discard
GS19_GC10_40_E2_S1,E2,S1,Sample,40,214954.767843616,13454.0583244295,68664.0460228285,3938.3764955934,283618.813866445,keep
GS19_GC10_41_E1_S1,E1,S1,Sample,41,321359.042463631,31386.6231633329,95706.5626122486,5795.93592676623,417065.60507588,pool
GS19_GC10_41_E2_S1,E2,S1,Sample,41,69806.8472055288,4633.00069173177,16228.9692805364,2112.59059416942,86035.8164860652,pool
GS19_GC10_42_E1_S1,E1,S1,Sample,42,350388.149539799,19863.0717690922,118932.846789708,10012.6446572496,469320.996329507,
GS19_GC10_43_E1_S1,E1,S1,Sample,43,333553.277489973,54740.3141776508,83989.1647910052,808.847715510404,417542.442280978,
GS19_GC10_44_E1_S1,E1,S1,Sample,44,358739.600548377,29003.2724233774,87107.3825542744,11447.8353353647,445846.983102651,
GS19_GC10_45_E1_S1,E1,S1,Sample,45,422561.325672932,77732.6742113938,164353.449792321,17097.8117197361,586914.775465253,
GS19_GC10_46_E1_S1,E1,S1,Sample,46,393379.945087647,71994.4663295358,229205.143155686,22671.6190105637,622585.088243333,
GS19_GC10_47_E1_S1,E1,S1,Sample,47,382058.806466584,58786.6090075804,142313.4409083,31888.5538837697,524372.247374884,
GS19_GC10_48_E1_S1,E1,S1,Sample,48,321773.441395861,95534.3238343585,151049.700797872,28612.4038696289,472823.142193733,
GS19_GC10_49_E1_S1,E1,S1,Sample,49,298755.867731892,33150.0083718148,101131.982033876,19977.127019234,399887.849765768,
GS19_GC10_50_E1_S1,E1,S1,Sample,50,208094.031896718,15892.4146214291,73475.0041925478,4972.5002310534,281569.036089266,
GS19_GC10_51_E1_S1,E1,S1,Sample,51,117557.010461788,3220.49631930814,43795.492342203,3916.49538927739,161352.502803991,keep
GS19_GC10_51_E2_S1,E2,S1,Sample,51,150023.601807569,16820.9460298371,1835.33425566815,499.464203196333,151858.936063237,discard
GS19_GC10_52_E1_S1,E1,S1,Sample,52,352977.999069112,42718.2254918699,192877.978896246,4515.92974248601,545855.977965358,
GS19_GC10_53_E1_S1,E1,S1,Sample,53,276764.131433824,36570.2617869657,114145.373176126,7788.05957121007,390909.50460995,keep
GS19_GC10_53_E2_S1,E2,S1,Sample,53,145866.734005627,25231.2595980155,5342.08475616929,742.160779824529,151208.818761796,discard
GS19_GC10_54_E1_S1,E1,S1,Sample,54,307006.111054409,21235.5901396473,157337.255772389,23886.5351733572,464343.366826798,pool
GS19_GC10_54_E2_S1,E2,S1,Sample,54,325106.213023362,45058.9092958321,21196.0201818966,2926.55120775538,346302.233205259,pool
GS19_GC10_55_E1_S1,E1,S1,Sample,55,430384.938309831,62761.8810818624,237369.322512472,9831.31539795193,667754.260822303,
GS19_GC10_56_E1_S1,E1,S1,Sample,56,268701.578776041,2918.36787492801,105953.439565805,4615.34549028445,374655.018341846,
GS19_GC10_57_E1_S1,E1,S1,Sample,57,170181.02389663,14159.8644541271,79054.9662575793,1160.53552769903,249235.990154209,
GS19_GC10_58_E1_S1,E1,S1,Sample,58,263327.266393083,38945.1830574636,138283.075911275,7214.02168273926,401610.342304358,
GS19_GC10_59_E1_S1,E1,S1,Sample,59,16440.8503712474,614.987720142712,246.903821304962,74.9178960189953,16687.7541925524,
GS19_GC10_60_E1_S1,E1,S1,Sample,60,29553.3758825837,1500.20162430767,13326.7466493231,1456.7694404634,42880.1225319068,pool
GS19_GC10_60_E1_S2,E1,S2,Sample,60,29553.3758825837,1500.20162430767,13326.7466493231,1456.7694404634,42880.1225319068,pool
GS19_GC10_61_E1_S1,E1,S1,Sample,61,22565.7124033589,2392.12790546694,2674.94968961529,433.356350524014,25240.6620929742,pool
GS19_GC10_61_E1_S2,E1,S2,Sample,61,22565.7124033589,2392.12790546694,2674.94968961529,433.356350524014,25240.6620929742,pool
GS19_GC10_62_E1_S1,E1,S1,Sample,62,506053.721211956,31847.9121328595,250493.932200338,21932.6317429781,756547.653412294,
GS19_GC10_63_E1_S1,E1,S1,Sample,63,472732.543945313,33804.3116316011,173973.971982546,4103.22418695764,646706.515927859,
GS19_GC10_64_E1_S1,E1,S1,Sample,64,399011.45792896,26306.0670461714,147597.678996021,9915.15757874672,546609.136924981,
GS19_GC10_65_E1_S1,E1,S1,Sample,65,343272.959493204,45880.3043097915,127947.487381991,4621.8871114727,471220.446875195,
GS19_GC10_66_E1_S1,E1,S1,Sample,66,110850.030374425,11037.4678426714,30184.4314217314,3846.61058373035,141034.461796156,pool
GS19_GC10_66_E2_S1,E2,S1,Sample,66,485392.222872358,61582.2156934002,37748.9508069383,4753.69146820897,523141.173679296,pool
GS19_GC10_67_E1_S1,E1,S1,Sample,67,68035.7194190953,4211.29298291516,29416.7059680301,1445.02774847245,97452.4253871254,
GS19_GC10_68_E1_S1,E1,S1,Sample,68,317303.013752415,63768.2350394652,180581.916730429,11609.0931843237,497884.930482844,pool
GS19_GC10_68_E2_S1,E2,S1,Sample,68,702194.695723684,80005.8197556881,57600.5366810581,7420.3190050627,759795.232404742,pool
GS19_GC10_69_E2_S1,E2,S1,Sample,69,1374839.83039856,152685.981988907,119438.86578083,20011.4987790585,1494278.69617939,
GS19_GC10_70_E1_S1,E1,S1,Sample,70,334166.324013158,23486.3843415913,198733.289216694,1239.71384450009,532899.613229852,pool
GS19_GC10_70_E2_S1,E2,S1,Sample,70,2336737.09909539,228123.10469778,207936.170076069,415.584024630095,2544673.26917146,pool
GS19_GC10_71_E1_S1,E1,S1,Sample,71,179377.716266556,32943.7356910959,111043.685003622,12365.7100248021,290421.401270178,
GS19_GC10_72_E1_S1,E1,S1,Sample,72,284387.844619596,31308.335464818,163194.011819773,8025.55877345087,447581.856439369,
GS19_GC10_73_E1_S1,E1,S1,Sample,73,288990.023917677,46330.0238011783,143279.032093855,17105.969551688,432269.056011532,
