Sample,Extraction,Sequencing,Type,Depth,16SBac,16SBac_SD,16SArc,16SArc_SD,Proka16S,PoolingChoice
GS19_GC10_154_E2_S1,E2,S1,Sample,154,84342.0960849389,9929.48130557412,21044.7705777964,202.754212725431,105386.866662735,pool
GS19_GC10_155_E1_S1,E1,S1,Sample,155,29727.0405365052,354.769711078543,18174.8113574169,1061.84777575139,47901.8518939221,
GS19_GC10_156_E1_S1,E1,S1,Sample,156,15045.3109895029,2025.38794086826,4473.18025173679,419.245960731661,19518.4912412397,
GS19_GC10_157_E1_S1,E1,S1,Sample,157,49348.6001457967,5303.08031700026,25036.9750278096,5930.18229578583,74385.5751736063,
GS19_GC10_158_E1_S1,E1,S1,Sample,158,75682.6710056615,1024.30984780595,37671.8598443108,4462.07523345948,113354.530849972,
GS19_GC10_159_E1_S1,E1,S1,Sample,159,80091.3639557667,19828.0982482128,25717.47364142,4454.27741759862,105808.837597187,
GS19_GC10_160_E1_S1,E1,S1,Sample,160,40271.5965701045,1806.4955828832,36763.0673848513,2855.83428400793,77034.6639549558,
GS19_GC10_161_E1_S1,E1,S1,Sample,161,39378.5038400204,4033.23366286907,22696.3830501476,1627.37709410647,62074.886890168,
GS19_GC10_162_E1_S1,E1,S1,Sample,162,61501.6102279204,194.417579747065,31291.5065257846,4427.0572744214,92793.116753705,
GS19_GC10_163_E1_S1,E1,S1,Sample,163,46146.225143265,2186.768919557,29206.2382121662,5436.00962712214,75352.4633554312,
GS19_GC10_164_E1_S1,E1,S1,Sample,164,38944.3251190993,4717.95500901642,20504.887898763,1753.56965847116,59449.2130178623,
GS19_GC10_165_E1_S1,E1,S1,Sample,165,7923.50095068187,817.720607818226,2344.62448227953,139.793922117657,10268.1254329614,
GS19_GC10_166_E1_S1,E1,S1,Sample,166,6080.33348532284,1026.19206204134,,,6080.33348532284,
GS19_GC10_167_E1_S1,E1,S1,Sample,167,28463.7553901604,1972.7265599386,19579.8754050018,3274.05501524892,48043.6307951622,
GS19_GC10_168_E1_S1,E1,S1,Sample,168,52740.3608351895,6705.24560806036,24514.855131946,4920.47899930482,77255.2159671355,
GS19_GC10_169_E1_S1,E1,S1,Sample,169,68834.6563855874,12381.5023107057,21098.2028629752,4165.66111160097,89932.8592485626,pool
GS19_GC10_169_E2_S1,E2,S1,Sample,169,1199728.48293672,105373.864592867,80358.4302319642,7461.50296103506,1280086.91316868,pool
GS19_GC10_170_E1_S1,E1,S1,Sample,170,132936.808877362,31079.2249119924,48382.7510993638,2750.36731879868,181319.559976726,
GS19_GC10_171_E1_S1,E1,S1,Sample,171,59263.0707181977,4216.47196997116,45392.2687749104,5982.30326682495,104655.339493108,
GS19_GC10_172_E1_S1,E1,S1,Sample,172,46624.4000490471,7178.44321588764,26592.1229204255,4830.94950962494,73216.5229694726,pool
GS19_GC10_172_E2_S1,E2,S1,Sample,172,667638.925405649,81227.7671618339,48164.4703791692,4767.39223186786,715803.395784818,pool
GS19_GC10_173_E1_S1,E1,S1,Sample,173,6929.63437831149,637.08558995673,31145.239485071,3233.53909431619,38074.8738633825,
GS19_GC10_B1_E2_S1,E2,S1,Blank,B1,NA,NA,NA,NA,NA,
GS19_GC10_B2_E2_S1,E2,S1,Blank,B2,NA,NA,NA,NA,NA,
