"X16SBac","X16SBac_SD","X16SArc","X16SArc_SD","amoAArc","amoAArc_SD","hzo","hzo_SD"
20604.0438483743,1293.77280964571,5720.07236103445,572.007236103445,314,196,2505,250.5
138796.786604257,5102.05526139141,76872.3044869383,12898.2122239428,32100,5490,2505,250.5
258234.950474331,21781.0162846346,120823.17660314,18267.0901280753,83500,2240,2505,250.5
185535.22004554,2571.54110089019,112455.013409332,4764.97094235828,70000,8870,2505,250.5
27817.4015070429,2261.30485534667,5693.49440517805,1186.25874550927,2660,2360,2505,250.5
314437.74441129,18496.567922791,154518.553740169,11655.707264158,115000,18900,2505,250.5
29547.7418881089,2165.91570317399,5660.5626812756,866.006259991998,5640,56.7,2505,250.5
21907.8972226098,2128.45196799627,1111.96179869314,44.5441791304836,666,393,2505,250.5
23359.0679168701,1241.9661283493,4153.38897705079,1226.98414325714,6290,622,2505,250.5
183258.811768412,5440.7053026323,115543.448802961,16039.8720881231,80900,9090,2505,250.5
20877.1679282847,886.470375798684,2009.3799296005,742.397321521906,4330,373,2505,250.5
18293.2402636554,2255.60810114887,2946.23428594152,294.623428594152,95,9.5,2505,250.5
623452.232186362,97724.4260157468,205825.1838922,4699.99927988666,140000,14800,2505,250.5
119915.531907126,11728.339507201,53733.6388703819,6581.83195880641,38700,2020,2505,250.5
274969.072750106,19780.9100614911,118811.340925758,18197.9116298809,94400,16200,2505,250.5
16585.6346143922,2624.74514027895,411.648892170582,82.9321638305488,95,9.5,2505,250.5
309861.575855929,4086.5379221299,115963.810709267,4032.43125294129,38900,4650,2505,250.5
24856.1908764467,762.646215998993,3508.64553983327,969.421797082327,2310,958,2505,250.5
184743.245442708,4121.0086572738,96589.1883486793,15426.2576784406,46600,6750,2505,250.5
22954.4183655423,592.938868138387,1726.01691865224,156.181372531023,613,438,2505,250.5
41290.5728753238,3873.09349794439,10380.6674161697,149.720939085445,4350,957,2505,250.5
132334.552453636,35976.7218920944,41025.8573644302,2523.11578059332,18200,537,2505,250.5
536962.937216722,9040.40227409538,153822.990592199,8576.03531757384,80700,11500,2505,250.5
430921.836521314,40104.7209034795,161702.197530996,20486.4564149276,64100,3610,2505,250.5
320120.297945463,15001.4096039993,130161.886948806,12560.7281464797,49600,3520,2505,250.5
512335.328494801,41797.7781856761,217173.806358786,23419.5449773004,87600,19100,2505,250.5
387347.557697821,69138.3403813073,214568.111874641,4306.38103310121,72600,4540,2505,250.5
347422.544417842,34836.8441674018,181487.859910534,31784.0969947077,80500,4600,2505,250.5
851422.155835108,125643.257339875,302504.031500501,49050.5654252842,84500,11200,51700,1140
549986.065089581,38989.5802359959,206525.646450564,3097.78221270217,48300,1420,96400,8650
166551.668589352,39138.8507289741,121172.184252557,5809.39227388105,40800,5290,53200,14000
144318.295195175,11276.5015148726,65473.2572390268,7434.26226899552,14600,3900,18300,5450
299893.084365422,23451.9478608804,137034.961562167,26225.9786317089,13700,4270,2505,250.5
220637.735247336,30377.2663019097,85957.7948975175,2398.31223012124,11200,3570,84300,10500
115835.389223966,8137.76850700378,74457.3766534979,8781.50137988004,10900,3370,43800,3930
134163.593796064,9223.13366296156,55688.0159198113,10923.1660950859,2060,447,193000,27800
146227.803498434,14076.6652114234,84599.2258533581,2168.50185161114,190,58,130000,1690
161503.549055619,18944.0402117642,88766.7309154163,25119.3935220892,95,9.5,154000,12600
95778.3438942649,527.477399869399,39461.4479758523,4958.514733748,95,9.5,103000,37100
70470.1098766956,15181.763617547,29062.4870048775,5020.54822313916,95,9.5,75200,13100
178054.874126727,14423.8989169781,51554.5639624963,6097.97275983371,95,9.5,185000,35000
101030.864789792,10347.7377835879,39499.9864036471,1689.3401220151,95,9.5,41200,2590
68010.0608774708,9024.87196210764,33569.4922636239,4710.51434897101,95,9.5,92700,35300
59103.7052933888,4480.72443726242,26015.3493573589,5046.98958448184,95,9.5,43600,6050
89189.5408401946,116.404855322695,24336.818306746,2322.71362921436,95,9.5,303000,74000
32795.1569747032,1536.49361407171,15830.1364621736,4003.32053316281,95,9.5,303000,72800
52373.1305332257,8452.15716417231,13858.8702816761,1496.39757443579,95,9.5,128000,7970
6645.73454264246,97.9241432468933,529.999783116591,51.0361423114061,95,9.5,2505,250.5
10010.6966316828,1414.67905146662,918.449324254561,137.680717913446,95,9.5,2505,250.5
25649.1800633872,1896.60089771922,7142.48273430802,1655.30399578373,95,9.5,64500,9290
8413.00914920946,1126.79048439339,593.614217787016,191.212324807762,95,9.5,5010,1690
466850.32029226,42453.7065733282,192181.997348608,10158.8955814974,50500,11100,50500,10500
67880.4051806355,24.3491465933839,33558.0636186209,4514.69951205784,271,36.3,331000,70100
6955.1513671875,498.258447647094,517.289829254151,66.4339855313301,95,9.5,2505,250.5
48891.0055440465,1622.52810603252,33375.298486997,5187.30335272921,95,9.5,2505,250.5
62399.8615103709,3811.07368699501,31522.7140123456,7166.20048047071,95,9.5,2505,250.5
104396.813657103,1540.23035233762,29795.3685792555,4108.73909958271,95,9.5,2505,250.5
75632.2420560396,4078.09854297281,25479.3805540723,4352.95451951373,95,9.5,2505,250.5
97179.7335464343,11952.1537713245,39320.967682695,3566.63096267565,95,9.5,2505,250.5
47932.5560439332,16691.5697060512,25474.8756042806,5194.94739349528,95,9.5,2505,250.5
72905.6605586299,6410.89663093472,30919.1480095003,2159.19120812122,95,9.5,2505,250.5
38061.0721334986,5460.83744930731,17461.0770812569,2239.75852643326,95,9.5,59700,20700
61095.6031857557,1333.83155779074,29779.4989957154,953.99841097475,95,9.5,568000,70400
85341.6724343902,12495.3638465659,32485.3700804479,4937.65784698783,95,9.5,13200,3490
21643.8971443911,4822.51669661136,2068.65866128076,54.1873802720096,95,9.5,2505,250.5
84342.0960849389,9929.48130557412,21044.7705777964,202.754212725431,95,9.5,31900,5530
29727.0405365052,354.769711078543,18174.8113574169,1061.84777575139,95,9.5,2505,250.5
15045.3109895029,2025.38794086826,4473.18025173679,419.245960731661,95,9.5,139000,19700
49348.6001457967,5303.08031700026,25036.9750278096,5930.18229578583,95,9.5,29200,881
75682.6710056615,1024.30984780595,37671.8598443108,4462.07523345948,95,9.5,37300,1130
80091.3639557667,19828.0982482128,25717.47364142,4454.27741759862,95,9.5,2505,250.5
40271.5965701045,1806.4955828832,36763.0673848513,2855.83428400793,95,9.5,2505,250.5
39378.5038400204,4033.23366286907,22696.3830501476,1627.37709410647,473,272,2505,250.5
61501.6102279204,194.417579747065,31291.5065257846,4427.0572744214,95,9.5,2505,250.5
46146.225143265,2186.768919557,29206.2382121662,5436.00962712214,95,9.5,2505,250.5
38944.3251190993,4717.95500901642,20504.887898763,1753.56965847116,95,9.5,2505,250.5
7923.50095068187,817.720607818226,2344.62448227953,139.793922117657,95,9.5,2505,250.5
6080.33348532284,1026.19206204134,1582.78705082632,158.278705082632,95,9.5,2505,250.5
28463.7553901604,1972.7265599386,19579.8754050018,3274.05501524892,95,9.5,2505,250.5
52740.3608351895,6705.24560806036,24514.855131946,4920.47899930482,1340,1340,2505,250.5
68834.6563855874,12381.5023107057,21098.2028629752,4165.66111160097,95,9.5,2505,250.5
132936.808877362,31079.2249119924,48382.7510993638,2750.36731879868,3650,987,2505,250.5
59263.0707181977,4216.47196997116,45392.2687749104,5982.30326682495,95,9.5,2505,250.5
46624.4000490471,7178.44321588764,26592.1229204255,4830.94950962494,95,9.5,2505,250.5
6929.63437831149,637.08558995673,31145.239485071,3233.53909431619,95,9.5,2505,250.5
