Age,OTU_3_Median,OTU_3_LowerQuantile,OTU_3_UpperQuantile,OTU_16_Median,OTU_16_LowerQuantile,OTU_16_UpperQuantile,hzo_Median,hzo_LowerQuantile,hzo_UpperQuantile
5086,1.0,1.0,1.0,1.0,1.0,1.0,2504.4083768485907,2368.0108333200733,2639.802997262928
5136,1.0,1.0,1.0,1.0,1.0,1.0,2504.068746752068,2367.9292659023595,2639.235802738565
5186,1.0,1.0,1.0,1.0,1.0,1.0,2504.6861099596213,2368.333611041486,2640.043335163025
5236,1.0,1.0,1.0,1.0,1.0,1.0,2504.432753081564,2368.1845878278077,2639.7077171549363
5286,1.0,1.0,1.0,1.0,1.0,1.0,2504.508055419974,2368.2199845214395,2638.8351468811193
5336,1.0,1.0,1.0,1.0,1.0,1.0,2503.786009488526,2368.8837068352873,2639.6519000178596
5386,1.0,1.0,1.0,1.0,1.0,1.0,2504.162833650535,2368.3841458683946,2639.941521432676
5436,1.0,1.0,1.0,1.0,1.0,1.0,2504.6888316175614,2368.312046366218,2640.024572706681
5486,1.0,1.0,1.0,1.0,1.0,1.0,2504.699414004018,2368.7102054445636,2639.642551728399
5536,1.0,1.0,1.0,1.0,1.0,1.0,2505.0220745189154,2368.07183565078,2639.9583392860486
5586,1.0,1.0,1.0,1.0,1.0,1.0,2504.072781262885,2368.2741317621053,2638.8729112820415
5636,1.0,1.0,1.0,1.0,1.0,1.0,2505.092621437971,2367.5725066235227,2639.533927711797
5686,1.0,1.0,1.0,1.0,1.0,1.0,2504.3753403558417,2368.0552598804156,2639.7075941611556
5736,1.0,1.0,1.0,1.0,1.0,1.0,2504.494820197072,2368.4061904507375,2639.6043950531453
5786,1.0,1.0,1.0,1.0,1.0,1.0,2504.512728809048,2367.9005437319265,2640.1560331409414
5836,1.0,1.0,1.0,1.0,1.0,1.0,2504.6279798145356,2369.387321715835,2639.8686379132364
5886,1.0,1.0,1.0,1.0,1.0,1.0,2503.9581579931933,2368.861597369206,2639.054718617181
5936,1.0,1.0,1.0,1.0,1.0,1.0,2504.9997876447496,2369.1866550061236,2639.828767148313
5986,1.0,1.0,1.0,1.0,1.0,1.0,2504.9317299279955,2369.605875249787,2639.3045856295967
6036,1.0,1.0,1.0,1.0,1.0,1.0,2505.0774398404924,2369.992712926936,2639.1688967032146
6086,1.0,1.0,1.0,1.0,1.0,1.0,2504.936310612609,2369.6919725649004,2639.1934637110635
6136,1.0,1.0,1.0,1.0,1.0,1.0,2504.918699768746,2369.4259752185562,2639.392682029085
6186,1.0,1.0,1.0,1.0,1.0,1.0,2504.646815019024,2369.4940156398334,2639.7996143982145
6236,1.0,1.0,1.0,1.0,1.0,1.0,2504.9255121836786,2369.494136802958,2639.323060271417
6286,1.0,1.0,1.0,1.0,1.0,1.0,2504.8388407194975,2369.5841242177826,2640.093557221212
6336,1.0,1.0,1.0,1.0,1.0,1.0,2505.089896476278,2370.080244345345,2640.099548607212
6386,1.0,1.0,1.0,1.0,1.0,1.0,2505.340293980284,2370.2813954558383,2640.39919250473
6436,1.0,1.0,1.0,1.0,1.0,1.0,2504.820961978555,2369.930152996851,2640.74939256781
6486,1.0,1.0,1.0,1.0,1.0,1.0,2505.2266061965706,2369.6281030876467,2640.8251093054946
6536,1.0,1.0,1.0,1.0,1.0,1.0,2505.775841920266,2368.9888820485594,2640.551228852682
6586,1.0,1.0,1.0,1.0,1.0,1.0,2504.891817168848,2369.0987693125285,2641.64793628656
6636,1.0,1.0,1.0,1.0,1.0,1.0,2505.5680606368032,2369.1910519917938,2641.9450692818127
6686,1.0,1.0,1.0,1.0,1.0,1.0,2505.113132389664,2369.1197624428683,2642.050900738868
6736,1.0,1.0,1.0,1.0,1.0,1.0,2505.6318149853932,2369.5409474118596,2641.722682558927
6786,1.0,1.0,1.0,1.0,1.0,1.0,2505.3057073926634,2368.947116188394,2641.6642985969324
6836,1.0,1.0,1.0,1.0,1.0,1.0,2504.713408966733,2369.0150601363935,2641.416930751371
6886,1.0,1.0,1.0,1.0,1.0,1.0,2504.6281111056223,2369.692246449053,2641.491630971571
6936,1.0,1.0,1.0,1.0,1.0,1.0,2504.7259530431334,2369.616504132937,2641.851960892288
6986,1.0,1.0,1.0,1.0,1.0,1.0,2504.509641184342,2369.67623464338,2641.3706177484764
7036,1.0,1.0,1.0,1.0,1.0,1.0,2504.3892947768904,2369.3687971575177,2641.552974898158
7086,1.0,1.0,1.0,1.0,1.0,1.0,2505.2791977360816,2369.4930592845067,2641.065336187657
7136,1.0,1.0,1.0,1.0,1.0,1.0,2504.448640313575,2369.2752961321453,2641.7506985766026
7186,1.0,1.0,1.0,1.0,1.0,1.0,2503.9538592286485,2369.3539484335497,2641.7332954756007
7236,1.0,1.0,1.0,1.0,1.0,1.0,2504.852276420601,2369.627088115696,2641.1858679083325
7286,1.0,1.0,1.0,1.0,1.0,1.0,2505.3788486961066,2370.1122247289386,2641.8015976544466
7336,1.0,1.0,1.0,1.0,1.0,1.0,2504.8582984293444,2369.8029585597437,2640.9770661719344
7386,1.0,1.0,1.0,1.0,1.0,1.0,2505.286187342309,2370.0654373396856,2641.5551602131695
7436,1.0,1.0,1.0,1.0,1.0,1.0,2505.523230566548,2370.086024352113,2642.010337604351
7486,1.0,1.0,1.0,1.0,1.0,1.0,2504.819633881471,2369.9362702985736,2641.844003235526
7536,1.0,1.0,1.0,1.0,1.0,1.0,2505.3352283028166,2370.058263785126,2641.694408536648
7586,1.0,1.0,1.0,1.0,1.0,1.0,2505.250203991479,2369.34203990298,2641.158368079978
7636,1.0,1.0,1.0,1.0,1.0,1.0,2505.4032152550817,2369.9683222783733,2640.83810823179
7686,1.0,1.0,1.0,1.0,1.0,1.0,2505.3739852154545,2370.159601483627,2640.588368947282
7736,1.0,1.0,1.0,1.0,1.0,1.0,2505.3178920674463,2370.3523410473745,2640.2834430875187
7786,1.0,1.0,1.0,1.0,1.0,1.0,2505.7084637567345,2370.4890494264328,2640.927878087036
7836,1.0,1.0,1.0,1.0,1.0,1.0,2505.3856020639737,2369.818488795319,2640.9527153326285
7886,1.0,1.0,1.0,1.0,1.0,1.0,2504.8593275589783,2369.977531961397,2640.6977316359753
7936,1.0,1.0,1.0,1.0,1.0,1.0,2505.6443073710825,2369.4375920033167,2640.878117629078
7986,1.0,1.0,1.0,1.0,1.0,1.0,2505.6707500909934,2368.9614630195624,2641.39651711155
8036,1.0,1.0,1.0,1.0,1.0,1.0,2505.820165763113,2368.8387658943816,2641.7638277540514
8086,1.0,1.0,1.0,1.0,1.0,1.0,2505.6412358707503,2368.661516838253,2641.5508008483057
8136,1.0,1.0,1.0,1.0,1.0,1.0,2505.397884968918,2369.304826092122,2641.490943845714
8186,1.0,1.0,1.0,1.0,1.0,1.0,2505.796059451934,2368.8562105543447,2640.722087042206
8236,1.0,1.0,1.0,1.0,1.0,1.0,2505.392610255443,2368.278421077996,2641.5132183518936
8286,1.0,1.0,1.0,1.0,1.0,1.0,2504.7301807632366,2368.582773339636,2641.8500696684346
8336,1.0,1.0,1.0,1.0,1.0,1.0,2504.7925058732903,2368.2223127659413,2642.331281910479
8386,1.0,1.0,1.0,1.0,1.0,1.0,2505.4749643813534,2368.149487968394,2641.8333599745038
8436,1.0,1.0,1.0,1.0,1.0,1.0,2504.8556800851693,2368.8720272967666,2641.81763253392
8486,1.0,1.0,1.0,1.0,1.0,1.0,2505.380555335125,2369.201207769275,2640.5585841688735
8536,1.0,1.0,1.0,1.0,1.0,1.0,2504.879858453028,2369.5249807830032,2641.2679794640453
8586,1.0,1.0,1.0,1.0,1.0,1.0,2505.0172493586065,2369.5699799795857,2640.4645187376273
